# Format: word_en|hint_en|word_th|hint_th|image_search_terms
Elephant|Trunk|ช้าง|งวง|elephant animal trunk
Giraffe|Neck|ยีราฟ|คอ|giraffe animal neck
Zebra|Stripes|ม้าลาย|ลาย|zebra animal stripes
Lion|Mane|สิงโต|แผงคอ|lion animal male mane
Tiger|Stripes|เสือ|ลาย|tiger animal stripes
Kangaroo|Pouch|จิงโจ้|กระเป๋า|kangaroo animal australia
Penguin|Ice|เพนกวิน|น้ำแข็ง|penguin animal ice
Panda|Bamboo|แพนด้า|ไผ่|panda bear bamboo
Koala|Eucalyptus|โคอาล่า|ยูคาลิปตัส|koala bear tree
Camel|Hump|อูฐ|โหนก|camel animal desert
Rhino|Horn|แรด|นอ|rhino animal horn
Hippo|River|ฮิปโป|แม่น้ำ|hippo animal water
Crocodile|Swamp|จระเข้|บึง|crocodile alligator reptile
Snake|Venom|งู|พิษ|snake reptile green
Turtle|Shell|เต่า|กระดอง|turtle animal shell
Frog|Pond|กบ|บึง|frog green animal
Chameleon|Color|กิ้งก่า|สี|chameleon reptile green
Rabbit|Carrot|กระต่าย|แครอท|rabbit bunny animal
Squirrel|Nut|กระรอก|ถั่ว|squirrel animal nut
Bat|Cave|ค้างคาว|ถ้ำ|bat mammal animal flying
Wolf|Moon|หมาป่า|พระจันทร์|wolf animal forest
Fox|Orange|จิ้งจอก|ส้ม|fox animal orange
Bear|Honey|หมี|น้ำผึ้ง|bear animal brown
Polar Bear|White|หมีขั้วโลก|ขาว|polar bear animal ice
Monkey|Banana|ลิง|กล้วย|monkey animal banana
Gorilla|King|กอริลลา|ราชา|gorilla animal silverback
Sloth|Slow|สลอธ|ช้า|sloth animal tree
Otter|Water|นาก|น้ำ|otter animal water swimming
Beaver|Dam|บีเวอร์|เขื่อน|beaver animal wood
Raccoon|Trash|แรคคูน|ขยะ|raccoon animal trash
Hedgehog|Spike|เม่น|หนาม|hedgehog animal cute
Cow|Milk|วัว|นม|cow farm animal
Pig|Bacon|หมู|เบคอน|pig farm animal pink
Sheep|Wool|แกะ|ขน|sheep farm animal wool
Chicken|Egg|ไก่|ไข่|chicken hen farm
Duck|Pond|เป็ด|สระ|duck bird water
Horse|Ride|ม้า|ขี่|horse farm animal galloping
Goat|Horn|แพะ|เขา|goat farm animal
Dog|Bone|หมา|กระดูก|dog puppy pet
Cat|Meow|แมว|เหมียว|cat kitten pet
Hamster|Wheel|แฮมสเตอร์|ล้อ|hamster cute pet
Whale|Ocean|วาฬ|มหาสมุทร|whale blue ocean
Dolphin|Intelligent|โลมา|ฉลาด|dolphin ocean water
Shark|Teeth|ฉลาม|ฟัน|shark great white ocean
Octopus|Tentacle|ปลาหมึกยักษ์|หนวด|octopus underwater animal
Jellyfish|Sting|แมงกะพรุน|พิษ|jellyfish ocean glowing
Crab|Claw|ปู|ก้าม|crab animal beach
Lobster|Red|กุ้งมังกร|แดง|lobster animal ocean
Seahorse|Small|ม้าน้ำ|เล็ก|seahorse underwater animal
Starfish|Five|ปลาดาว|ห้า|starfish beach ocean
Eagle|Sky|นกอินทรี|ท้องฟ้า|eagle bird flying
Owl|Night|นกฮูก|กลางคืน|owl bird eyes
Parrot|Talk|นกแก้ว|พูด|parrot bird colorful
Peacock|Feather|นกยูง|ขน|peacock bird feathers
Flamingo|Pink|ฟลามิงโก|ชมพู|flamingo bird pink
Swan|Lake|หงส์|ทะเลสาบ|swan bird white water
Bee|Honey|ผึ้ง|น้ำผึ้ง|bee insect flower
Ant|Sugar|มด|น้ำตาล|ant insect macro
Spider|Web|แมงมุม|ใย|spider insect web
Butterfly|Flower|ผีเสื้อ|ดอกไม้|butterfly insect colorful
Mosquito|Blood|ยุง|เลือด|mosquito insect bite
Snail|Shell|หอยทาก|เปลือก|snail animal shell
Ostrich|Egg|นกกระจอกเทศ|ไข่|ostrich bird running
Platypus|Duck|ตุ่นปากเป็ด|เป็ด|platypus animal water
